Acroloxidae;Acroloxus;lacustris;Acr_la
Ancylidae;Ancylus;fluviatilis;Anc_fl
Bithyniidae;Bithynia;tentaculata;Bit_te
Hydrobiidae;Potamopyrgus;antipodarum;Pot_an
Lymnaeidae;Galba;truncatula;Gal_tr
Lymnaeidae;Lymnaea;stagnalis;Lym_st
Lymnaeidae;Radix;auricularia;Rad_au
Lymnaeidae;Radix;balthica;Rad_ba
Lymnaeidae;Stagnicola;sp;Sta_sp
Neritidae;Theodoxus;fluviatilis;The_fl
Physidae;Haitia;acuta;Hai_ac
Physidae;Physa;fontinalis;Phy_fo
Planorbidae;Anisus;spirorbis;Ani_sp
Planorbidae;Anisus;vortex;Ani_vo
Planorbidae;Anisus;vorticulus;Ani_voc
Planorbidae;Ferrissia;clessiniana;Fer_cl
Planorbidae;Gyraulus;albus;Gyr_al
Planorbidae;Gyraulus;crista;Gyr_cr
Planorbidae;Gyraulus;parvus;Gyr_pa
Planorbidae;Hippeutis;complanatus;Hip_co
Planorbidae;Menetus;dilatatus;Men_di
Planorbidae;Planorbis;carinatus;Pla_ca
Planorbidae;Planorbis;planorbis;Pla_pl
Valvatidae;Valvata;cristata;Val_cr
Valvatidae;Valvata;piscinalis;Val_pi
Viviparidae;Viviparus;sp.;Viv_sp
