number;channel;site;q;year;season
1;BEAR;AM;1;03;E
2;BEAR;AM;2;03;E
3;BEAR;AM;3;03;E
4;BEAR;AM;4;03;E
5;BEAR;AM;1;04;P
6;BEAR;AM;2;04;P
7;BEAR;AM;3;04;P
8;BEAR;AM;4;04;P
9;BEAR;AM;1;05;E
10;BEAR;AM;2;05;E
11;BEAR;AM;3;05;E
12;BEAR;AM;1;06;P
13;BEAR;AM;2;06;P
14;BEAR;AM;4;06;P
15;BEAR;AM;1;07;P
16;BEAR;AM;2;07;P
17;BEAR;AM;3;07;P
18;BEAR;AM;2;07;E
19;BEAR;AM;3;07;E
20;BEAR;AM;4;07;E
21;BEAR;AM;2;09;P
22;BEAR;AM;3;09;P
23;BEAR;AM;4;09;P
24;BEAR;AM;2;09;E
25;BEAR;AM;3;09;E
26;BEAR;AM;4;09;E
27;BEAR;AM;1;11;P
28;BEAR;AM;2;11;P
29;BEAR;AM;3;11;P
30;BEAR;AM;1;11;E
31;BEAR;AM;2;11;E
32;BEAR;AM;3;11;E
33;BEAR;AM;1;12;P
34;BEAR;AM;3;12;P
35;BEAR;AM;4;12;P
36;BEAR;AM;1;12;E
37;BEAR;AM;2;12;E
38;BEAR;AM;4;12;E
39;BEAR;AM;1;13;P
40;BEAR;AM;2;13;P
41;BEAR;AM;3;13;P
42;BEAR;AM;1;13;E
43;BEAR;AM;2;13;E
44;BEAR;AM;4;13;E
45;BEAR;AM;1;15;P
46;BEAR;AM;3;15;P
47;BEAR;AM;4;15;P
48;BEAR;AM;1;15;E
49;BEAR;AM;2;15;E
50;BEAR;AM;4;15;E
51;BEAR;AM;2;16;P
52;BEAR;AM;3;16;P
53;BEAR;AM;4;16;P
54;BEAR;AM;1;16;E
55;BEAR;AM;2;16;E
56;BEAR;AM;3;16;E
57;BEAR;AVN;1;05;E
58;BEAR;AVN;3;05;E
59;BEAR;AVN;4;05;E
60;BEAR;AVN;1;06;P
61;BEAR;AVN;2;06;P
62;BEAR;AVN;3;06;P
63;BEAR;AVN;1;07;P
64;BEAR;AVN;2;07;P
65;BEAR;AVN;3;07;P
66;BEAR;AVN;1;07;E
67;BEAR;AVN;2;07;E
68;BEAR;AVN;4;07;E
69;BEAR;AVN;2;09;P
70;BEAR;AVN;3;09;P
71;BEAR;AVN;4;09;P
72;BEAR;AVN;1;09;E
73;BEAR;AVN;2;09;E
74;BEAR;AVN;4;09;E
75;BEAR;AVN;1;11;P
76;BEAR;AVN;2;11;P
77;BEAR;AVN;3;11;P
78;BEAR;AVN;1;11;E
79;BEAR;AVN;2;11;E
80;BEAR;AVN;3;11;E
81;BEAR;AVN;1;12;P
82;BEAR;AVN;3;12;P
83;BEAR;AVN;4;12;P
84;BEAR;AVN;1;12;E
85;BEAR;AVN;2;12;E
86;BEAR;AVN;3;12;E
87;BEAR;AVN;1;13;P
88;BEAR;AVN;2;13;P
89;BEAR;AVN;3;13;P
90;BEAR;AVN;4;13;P
91;BEAR;AVN;1;13;E
92;BEAR;AVN;2;13;E
93;BEAR;AVN;3;13;E
94;BEAR;AVN;4;13;E
95;BEAR;AVN;1;14;P
96;BEAR;AVN;2;14;P
97;BEAR;AVN;4;14;P
98;BEAR;AVN;1;14;E
99;BEAR;AVN;2;14;E
100;BEAR;AVN;3;14;E
101;BEAR;AVN;1;15;P
102;BEAR;AVN;2;15;P
103;BEAR;AVN;4;15;P
104;BEAR;AVN;1;15;E
105;BEAR;AVN;2;15;E
106;BEAR;AVN;3;15;E
107;BEAR;AVN;1;16;P
108;BEAR;AVN;2;16;P
109;BEAR;AVN;4;16;P
110;BEAR;AVN;2;16;E
111;BEAR;AVN;3;16;E
112;BEAR;AVN;4;16;E
113;BEAR;AV;1;03;E
114;BEAR;AV;2;03;E
115;BEAR;AV;3;03;E
116;BEAR;AV;4;03;E
117;BEAR;AV;1;04;P
118;BEAR;AV;2;04;P
119;BEAR;AV;3;04;P
120;BEAR;AV;4;04;P
121;BEAR;AV;1;05;E
122;BEAR;AV;2;05;E
123;BEAR;AV;3;05;E
124;BEAR;AV;1;06;P
125;BEAR;AV;3;06;P
126;BEAR;AV;4;06;P
127;BEAR;AV;1;07;P
128;BEAR;AV;2;07;P
129;BEAR;AV;3;07;P
130;BEAR;AV;1;07;E
131;BEAR;AV;2;07;E
132;BEAR;AV;4;07;E
133;BEAR;AV;1;09;P
134;BEAR;AV;2;09;P
135;BEAR;AV;3;09;P
136;BEAR;AV;1;09;E
137;BEAR;AV;2;09;E
138;BEAR;AV;4;09;E
139;BEAR;AV;1;11;P
140;BEAR;AV;2;11;P
141;BEAR;AV;4;11;P
142;BEAR;AV;2;11;E
143;BEAR;AV;3;11;E
144;BEAR;AV;4;11;E
145;BEAR;AV;2;12;P
146;BEAR;AV;3;12;P
147;BEAR;AV;4;12;P
148;BEAR;AV;2;12;E
149;BEAR;AV;3;12;E
150;BEAR;AV;4;12;E
151;BEAR;AV;1;13;P
152;BEAR;AV;3;13;P
153;BEAR;AV;4;13;P
154;BEAR;AV;2;13;E
155;BEAR;AV;3;13;E
156;BEAR;AV;4;13;E
157;BEAR;AV;1;15;P
158;BEAR;AV;3;15;P
159;BEAR;AV;4;15;P
160;BEAR;AV;2;15;E
161;BEAR;AV;3;15;E
162;BEAR;AV;4;15;E
163;BEAR;AV;1;16;P
164;BEAR;AV;2;16;P
165;BEAR;AV;4;16;P
166;BEAR;AV;1;16;E
167;BEAR;AV;2;16;E
168;BEAR;AV;4;16;E
169;CHAN;AM;1;04;P
170;CHAN;AM;2;04;P
171;CHAN;AM;3;04;P
172;CHAN;AM;4;04;P
173;CHAN;AM;1;04;E
174;CHAN;AM;2;04;E
175;CHAN;AM;3;04;E
176;CHAN;AM;4;04;E
177;CHAN;AM;2;07;P
178;CHAN;AM;3;07;P
179;CHAN;AM;4;07;P
180;CHAN;AM;2;07;E
181;CHAN;AM;3;07;E
182;CHAN;AM;4;07;E
183;CHAN;AM;1;09;P
184;CHAN;AM;3;09;P
185;CHAN;AM;4;09;P
186;CHAN;AM;2;09;E
187;CHAN;AM;3;09;E
188;CHAN;AM;4;09;E
189;CHAN;AM;1;11;P
190;CHAN;AM;2;11;P
191;CHAN;AM;4;11;P
192;CHAN;AM;1;11;E
193;CHAN;AM;2;11;E
194;CHAN;AM;4;11;E
195;CHAN;AM;1;12;P
196;CHAN;AM;2;12;P
197;CHAN;AM;3;12;P
198;CHAN;AM;1;12;E
199;CHAN;AM;2;12;E
200;CHAN;AM;4;12;E
201;CHAN;AM;1;13;P
202;CHAN;AM;2;13;P
203;CHAN;AM;3;13;P
204;CHAN;AM;2;15;P
205;CHAN;AM;3;15;P
206;CHAN;AM;4;15;P
207;CHAN;AV;1;04;P
208;CHAN;AV;2;04;P
209;CHAN;AV;3;04;P
210;CHAN;AV;4;04;P
211;CHAN;AV;1;04;E
212;CHAN;AV;2;04;E
213;CHAN;AV;3;04;E
214;CHAN;AV;4;04;E
215;CHAN;AV;1;07;P
216;CHAN;AV;3;07;P
217;CHAN;AV;4;07;P
218;CHAN;AV;1;07;E
219;CHAN;AV;3;07;E
220;CHAN;AV;4;07;E
221;CHAN;AV;2;09;P
222;CHAN;AV;3;09;P
223;CHAN;AV;4;09;P
224;CHAN;AV;1;09;E
225;CHAN;AV;2;09;E
226;CHAN;AV;4;09;E
227;CHAN;AV;1;11;P
228;CHAN;AV;3;11;P
229;CHAN;AV;4;11;P
230;CHAN;AV;2;11;E
231;CHAN;AV;3;11;E
232;CHAN;AV;4;11;E
233;CHAN;AV;2;12;P
234;CHAN;AV;3;12;P
235;CHAN;AV;4;12;P
236;CHAN;AV;1;12;E
237;CHAN;AV;2;12;E
238;CHAN;AV;3;12;E
239;CHAN;AV;2;13;P
240;CHAN;AV;3;13;P
241;CHAN;AV;4;13;P
242;CHAN;AV;1;14;P
243;CHAN;AV;2;14;P
244;CHAN;AV;3;14;P
245;CHAN;AV;1;15;P
246;CHAN;AV;2;15;P
247;CHAN;AV;4;15;P
248;CHAN;AV;1;15;E
249;CHAN;AV;2;15;E
250;CHAN;AV;3;15;E
251;CHAN;AV;2;16;P
252;CHAN;AV;3;16;P
253;CHAN;AV;4;16;P
254;CHAN;AV;1;16;E
255;CHAN;AV;2;16;E
256;CHAN;AV;4;16;E
257;CRBL;AM;1;02;A
258;CRBL;AM;2;02;A
259;CRBL;AM;3;02;A
260;CRBL;AM;1;03;P
261;CRBL;AM;2;03;P
262;CRBL;AM;3;03;P
263;CRBL;AM;1;03;E
264;CRBL;AM;2;03;E
265;CRBL;AM;3;03;E
266;CRBL;AM;1;08;P
267;CRBL;AM;2;08;P
268;CRBL;AM;3;08;P
269;CRBL;AM;1;08;E
270;CRBL;AM;2;08;E
271;CRBL;AM;3;08;E
272;CRBL;AM;1;10;P
273;CRBL;AM;2;10;P
274;CRBL;AM;4;10;P
275;CRBL;AM;1;10;E
276;CRBL;AM;2;10;E
277;CRBL;AM;3;10;E
278;CRBL;AM;1;12;P
279;CRBL;AM;2;12;P
280;CRBL;AM;3;12;P
281;CRBL;AM;1;12;E
282;CRBL;AM;2;12;E
283;CRBL;AM;4;12;E
284;CRBL;AM;1;16;P
285;CRBL;AM;2;16;P
286;CRBL;AM;3;16;P
287;CRBL;AM;2;16;E
288;CRBL;AM;3;16;E
289;CRBL;AM;4;16;E
290;CRBL;AV;1;02;A
291;CRBL;AV;2;02;A
292;CRBL;AV;3;02;A
293;CRBL;AV;1;03;P
294;CRBL;AV;2;03;P
295;CRBL;AV;4;03;P
296;CRBL;AV;1;03;E
