"x"	"y"	"buildings"	"elevation"	"farmland"	"forest"	"glacier"	"grassland"	"lakes"	"northness"	"rivers"	"roads"	"rocks"	"shoreline"	"slope"	"structures"	"wetlands"
684500	295500	193	785	0.06	0.92	0	0.02	0	-0.35	199	494	0	0	8.8	0	0
684500	294500	184	784	0	1	0	0	0	0.41	684	0	0	0	13.7	0	0
685500	294500	3898	718	0.1	0.67	0	0.15	0	0.17	676	1577	0	0	14.2	0	0
686500	294500	6740	701	0.19	0.64	0	0.1	0	-0.08	988	3303	0	0	14.7	0	0
687500	294500	23521	666	0.3	0.33	0	0.19	0	-0.19	1450	7684	0	0	14.3	0.06	0
688500	294500	2371	682	0.58	0.03	0	0.25	0	-0.41	247	2309	0	0	11.1	0.09	0
691500	294500	3365	587	0.18	0.66	0	0.1	0	0.08	1139	757	0	0	8.4	0.01	0
685500	293500	269	790	0	0.96	0	0.03	0	0.13	1341	0	0	0	20.9	0.01	0
686500	293500	371	751	0.07	0.84	0	0.08	0	0.45	1076	0	0	0	17.2	0.01	0
687500	293500	3334	726	0.07	0.71	0	0.18	0	0.39	645	314	0	56	17.2	0.03	0
691500	293500	22407	555	0.53	0.05	0	0.23	0	-0.21	1607	4484	0	0	9.4	0.02	0
692500	293500	14965	526	0.21	0.34	0	0.32	0	-0.27	1638	3080	0	0	9.8	0.01	0
682500	292500	7002	625	0.8	0.03	0	0.11	0	-0.44	576	1900	0	0	5.9	0	0
683500	292500	4354	667	0.58	0.26	0	0.12	0	-0.48	2551	1985	0	0	12	0.01	0
684500	292500	619	876	0	0.91	0	0.09	0	-0.11	270	850	0	0	11.7	0	0
685500	292500	1193	839	0.02	0.86	0	0.1	0	-0.16	128	1175	0	0	14.4	0.01	0
686500	292500	1379	791	0.15	0.63	0	0.17	0	-0.55	0	2216	0	0	13.9	0.02	0
687500	292500	459	751	0.27	0.55	0	0.1	0	-0.39	0	1206	0	0	15.7	0.06	0
688500	292500	1486	651	0.13	0.66	0	0.15	0	0.02	1091	2075	0	0	19.3	0.02	0
691500	292500	19391	579	0.52	0.12	0	0.22	0	0.44	497	4365	0	0	9	0.04	0
692500	292500	25110	489	0.29	0.13	0	0.35	0	0.01	2910	8276	0	0	10.5	0.08	0
678500	291500	237	521	0.09	0.86	0	0	0	-0.03	1960	1085	0	0	11.3	0.01	0
679500	291500	312	581	0.35	0.51	0	0.11	0	-0.27	189	0	0	0	10.7	0	0
680500	291500	3302	553	0.41	0.44	0	0.12	0	-0.67	1168	2310	0	0	9.1	0	0
681500	291500	14063	575	0.45	0.12	0	0.32	0	-0.28	1805	2276	0	0	10	0.01	0
682500	291500	49143	576	0.47	0	0	0.24	0	-0.31	2177	5712	0.01	0	6.8	0.04	0
683500	291500	852	654	0.42	0.39	0	0.17	0	0.37	1132	546	0	0	12.8	0.01	0
684500	291500	752	839	0.04	0.85	0	0.11	0	-0.18	134	277	0	0	14.3	0	0
685500	291500	1727	786	0.26	0.59	0	0.12	0	-0.17	0	1381	0	0	14.9	0.02	0
686500	291500	187	682	0.03	0.59	0	0.29	0	-0.07	867	1167	0	0	19.7	0.07	0
687500	291500	3640	631	0.18	0.38	0	0.32	0	-0.32	1199	2110	0	0	18.1	0.08	0
688500	291500	99	651	0.11	0.7	0	0.12	0	0.02	381	947	0	0	21.2	0.03	0
691500	291500	120	662	0.38	0.44	0	0.16	0	-0.12	0	3599	0.01	0	6.3	0	0
692500	291500	4276	596	0.28	0.52	0	0.15	0	0.66	5	2757	0	0	10.8	0.02	0
677500	290500	404	493	0.28	0.62	0	0.05	0	-0.1	2506	1762	0	0	9.9	0	0
678500	290500	1077	558	0.2	0.58	0	0.18	0	-0.04	1058	623	0	0	9.8	0.04	0
679500	290500	12694	519	0.62	0.02	0	0.23	0	-0.28	1674	2582	0	0	8.1	0.03	0
680500	290500	5921	559	0.51	0.07	0	0.38	0	0.45	1842	1306	0	0	10.6	0.01	0
681500	290500	4356	594	0.72	0.07	0	0.2	0	0.44	98	2250	0	0	8.7	0	0
682500	290500	11869	610	0.5	0.2	0	0.24	0	0.7	1871	2965	0	0	9.6	0.02	0
683500	290500	544	695	0.22	0.62	0	0.11	0	-0.05	1032	765	0.01	0	16.2	0	0
684500	290500	192	817	0.01	0.97	0	0.01	0	-0.13	0	1327	0	0	11.6	0	0
685500	290500	696	736	0.05	0.89	0	0.04	0	-0.15	81	791	0	0	20.1	0	0
686500	290500	540	707	0.03	0.76	0	0.15	0	-0.26	33	1133	0	0	19.3	0.05	0
687500	290500	77725	571	0.18	0.26	0	0.27	0	-0.11	2630	8741	0	0	13.6	0.05	0
688500	290500	6423	607	0.14	0.62	0	0.13	0	-0.22	287	1921	0	0	20.5	0.04	0
689500	290500	292	674	0.13	0.77	0	0.08	0	-0.43	0	592	0	0	10.4	0.01	0
690500	290500	11037	655	0.41	0.4	0	0.16	0	-0.2	0	4104	0	0	9	0	0
691500	290500	22741	638	0.27	0.39	0	0.21	0	-0.4	0	2614	0	0	7.6	0.03	0
692500	290500	55459	633	0.51	0.04	0	0.2	0	-0.56	0	5456	0	158	4.4	0.01	0
693500	290500	2512	524	0.25	0.56	0	0.09	0	-0.07	997	2668	0	0	13.3	0.01	0
694500	290500	11296	500	0.36	0.36	0	0.1	0	-0.56	636	2368	0	389	6.7	0.01	2953
695500	290500	23310	506	0.79	0.06	0	0.07	0	-0.22	0	5295	0	225	4	0.01	0
696500	290500	28293	512	0.69	0.05	0	0.12	0	0.45	0	2978	0	0	5.4	0.01	0
677500	289500	15373	517	0.55	0.19	0	0.11	0	-0.19	1061	2843	0	0	10.2	0.01	0
678500	289500	112959	500	0.33	0	0	0.18	0	-0.28	1348	11522	0	0	6.8	0.05	0
679500	289500	9679	535	0.49	0	0	0.37	0	0.38	387	3670	0	0	9.7	0.04	0
680500	289500	8201	586	0.86	0.04	0	0.07	0	-0.42	513	3177	0	0	4.5	0	0
681500	289500	791	644	0.14	0.52	0	0.32	0	-0.05	363	402	0	0	13.2	0	0
682500	289500	162	769	0	0.99	0	0	0	0	0	0	0	0	20.2	0	0
683500	289500	182	818	0	0.9	0	0.08	0	0.3	0	556	0	0	16.4	0	0
684500	289500	385	811	0.01	0.91	0	0.07	0	-0.14	0	2152	0	0	9.9	0	0
685500	289500	194	736	0.01	0.93	0	0.03	0	0.14	443	566	0	0	15.9	0.02	0
686500	289500	785	690	0.03	0.94	0	0.02	0	0.01	1035	1124	0	0	16.3	0.01	0
687500	289500	554	660	0.13	0.7	0	0.15	0	0.2	176	2682	0	0	15.4	0.02	0
688500	289500	348	567	0.27	0.57	0	0.07	0	-0.25	1076	2546	0	0	16.7	0.04	0
689500	289500	1205	618	0.2	0.68	0	0.08	0	-0.26	0	162	0	199	14.6	0.03	0
690500	289500	2138	636	0.46	0.48	0	0.04	0	-0.67	0	1844	0	0	4.8	0.01	0
691500	289500	6361	600	0.49	0.3	0	0.12	0	-0.24	0	3985	0	0	7.6	0	0
692500	289500	15755	587	0.48	0.29	0	0.16	0	-0.53	0	2941	0	107	5.4	0.02	0
693500	289500	7555	519	0.17	0.55	0	0.14	0	-0.24	0	2797	0	0	9.9	0	0
694500	289500	118616	447	0.18	0.08	0	0.1	0.01	-0.15	515	14851	0	402	4.4	0.03	8376
695500	289500	131899	464	0.26	0.04	0	0.09	0	-0.49	984	13895	0	70	5.7	0.04	0
696500	289500	29134	495	0.53	0.07	0	0.11	0	-0.49	482	4541	0	0	7.9	0.05	0
676500	288500	8824	507	0.58	0.28	0	0.09	0	0.25	2053	2097	0	0	7.7	0	0
677500	288500	13639	492	0.73	0.1	0	0.08	0	0.44	2135	3275	0	0	6	0.01	0
678500	288500	24340	518	0.51	0.08	0	0.28	0	0.28	859	5646	0	0	8.9	0.03	0
679500	288500	2084	577	0.86	0.01	0	0.08	0	-0.21	457	2451	0	0	6.4	0.02	0
680500	288500	7295	569	0.46	0.35	0	0.13	0	0.1	1722	1363	0	87	7.3	0.02	0
681500	288500	1079	676	0	0.83	0	0.16	0	0.66	1235	792	0	86	15.9	0.01	0
682500	288500	61	815	0	0.98	0	0	0	0.32	320	0	0	0	17.4	0	0
