"site";"date";"det";"time";"survey";"visit";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
5109;2014-05-04;1;210;4671;1;0;380;0.08;0.76;0;0.01;0.03;0.39;0;2856;0;572;9.4;0.01;0;2486500;1110499;486;110;46.14;5.97;486500;110500;"486500_110500"
5109;2014-05-18;1;210;4697;2;0;380;0.08;0.76;0;0.01;0.03;0.39;0;2856;0;572;9.4;0.01;0;2486500;1110499;486;110;46.14;5.97;486500;110500;"486500_110500"
5109;2014-06-01;1;220;4729;3;0;380;0.08;0.76;0;0.01;0.03;0.39;0;2856;0;572;9.4;0.01;0;2486500;1110499;486;110;46.14;5.97;486500;110500;"486500_110500"
5115;2015-04-19;1;390;7675;1;1739;360;0.05;0.31;0;0.09;0.09;-0.16;2010;232;0.01;4253;7;0.1;32961;2490500;1115499;490;115;46.18;6.02;490500;115500;"490500_115500"
5115;2015-05-05;1;370;7849;2;1739;360;0.05;0.31;0;0.09;0.09;-0.16;2010;232;0.01;4253;7;0.1;32961;2490500;1115499;490;115;46.18;6.02;490500;115500;"490500_115500"
5115;2015-05-30;1;320;8320;3;1739;360;0.05;0.31;0;0.09;0.09;-0.16;2010;232;0.01;4253;7;0.1;32961;2490500;1115499;490;115;46.18;6.02;490500;115500;"490500_115500"
5116;2013-04-21;1;240;1328;1;11449;407;0.39;0.39;0;0.04;0;0.37;3502;4202;0;336;3.7;0.06;0;2492500;1115499;492;115;46.18;6.05;492500;115500;"492500_115500"
5116;2013-05-08;1;235;1364;2;11449;407;0.39;0.39;0;0.04;0;0.37;3502;4202;0;336;3.7;0.06;0;2492500;1115499;492;115;46.18;6.05;492500;115500;"492500_115500"
5116;2013-06-03;1;200;1369;3;11449;407;0.39;0.39;0;0.04;0;0.37;3502;4202;0;336;3.7;0.06;0;2492500;1115499;492;115;46.18;6.05;492500;115500;"492500_115500"
5117;2013-04-17;0;211;1633;1;18365;472;0.52;0.01;0;0.09;0;0.32;1184;1647;0;0;2.1;0.02;0;2497500;1111499;497;111;46.15;6.11;497500;111500;"497500_111500"
5117;2013-05-07;0;215;1634;2;18365;472;0.52;0.01;0;0.09;0;0.32;1184;1647;0;0;2.1;0.02;0;2497500;1111499;497;111;46.15;6.11;497500;111500;"497500_111500"
5117;2013-05-27;0;195;1635;3;18365;472;0.52;0.01;0;0.09;0;0.32;1184;1647;0;0;2.1;0.02;0;2497500;1111499;497;111;46.15;6.11;497500;111500;"497500_111500"
5120;2013-04-26;0;210;2475;1;2273;447;0.28;0.56;0;0.07;0;-0.15;2970;2345;0;0;4.2;0.04;0;2498500;1127499;498;127;46.29;6.12;498500;127500;"498500_127500"
5120;2013-05-27;0;205;2476;2;2273;447;0.28;0.56;0;0.07;0;-0.15;2970;2345;0;0;4.2;0.04;0;2498500;1127499;498;127;46.29;6.12;498500;127500;"498500_127500"
5120;2013-06-19;0;190;2477;3;2273;447;0.28;0.56;0;0.07;0;-0.15;2970;2345;0;0;4.2;0.04;0;2498500;1127499;498;127;46.29;6.12;498500;127500;"498500_127500"
5121;2015-04-20;1;165;8980;1;40731;446;0.2;0.02;0;0.13;0.01;0.41;0;6686;0;464;3.3;0.15;0;2499500;1121499;499;121;46.24;6.14;499500;121500;"499500_121500"
5121;2015-05-14;1;160;8998;2;40731;446;0.2;0.02;0;0.13;0.01;0.41;0;6686;0;464;3.3;0.15;0;2499500;1121499;499;121;46.24;6.14;499500;121500;"499500_121500"
5121;2015-06-09;1;120;9016;3;40731;446;0.2;0.02;0;0.13;0.01;0.41;0;6686;0;464;3.3;0.15;0;2499500;1121499;499;121;46.24;6.14;499500;121500;"499500_121500"
5128;2014-05-08;0;225;6242;1;605;1461;0;0.29;0;0.59;0;-0.23;0;200;0;107;12.5;0.11;0;2498500;1148499;498;148;46.48;6.12;498500;148500;"498500_148500"
5128;2014-05-21;0;230;6254;2;605;1461;0;0.29;0;0.59;0;-0.23;0;200;0;107;12.5;0.11;0;2498500;1148499;498;148;46.48;6.12;498500;148500;"498500_148500"
5128;2014-06-06;0;230;6266;3;605;1461;0;0.29;0;0.59;0;-0.23;0;200;0;107;12.5;0.11;0;2498500;1148499;498;148;46.48;6.12;498500;148500;"498500_148500"
5133;2014-04-25;0;225;3978;1;333;1448;0;0.59;0;0.27;0;0.07;477;425;0;0;14.5;0.07;82752;2499500;1150499;499;150;46.5;6.13;499500;150500;"499500_150500"
5133;2014-05-18;0;270;4382;2;333;1448;0;0.59;0;0.27;0;0.07;477;425;0;0;14.5;0.07;82752;2499500;1150499;499;150;46.5;6.13;499500;150500;"499500_150500"
5133;2014-06-10;0;215;5582;3;333;1448;0;0.59;0;0.27;0;0.07;477;425;0;0;14.5;0.07;82752;2499500;1150499;499;150;46.5;6.13;499500;150500;"499500_150500"
5134;2016-04-20;1;190;10890;1;126658;389;0;0.17;0;0;0;0.3;1624;12965;0.01;81;4.4;0.1;0;2500500;1115499;500;115;46.18;6.15;500500;115500;"500500_115500"
5134;2016-05-16;1;180;11995;2;126658;389;0;0.17;0;0;0;0.3;1624;12965;0.01;81;4.4;0.1;0;2500500;1115499;500;115;46.18;6.15;500500;115500;"500500_115500"
5134;2016-06-04;1;170;12000;3;126658;389;0;0.17;0;0;0;0.3;1624;12965;0.01;81;4.4;0.1;0;2500500;1115499;500;115;46.18;6.15;500500;115500;"500500_115500"
5135;2014-04-22;1;210;7300;1;41644;398;0.19;0.12;0;0.07;0;0.05;1960;7169;0;0;4.3;0.06;0;2501500;1115499;501;115;46.18;6.16;501500;115500;"501500_115500"
5135;2014-05-10;1;230;7301;2;41644;398;0.19;0.12;0;0.07;0;0.05;1960;7169;0;0;4.3;0.06;0;2501500;1115499;501;115;46.18;6.16;501500;115500;"501500_115500"
5135;2014-05-29;1;195;7302;3;41644;398;0.19;0.12;0;0.07;0;0.05;1960;7169;0;0;4.3;0.06;0;2501500;1115499;501;115;46.18;6.16;501500;115500;"501500_115500"
5136;2015-04-16;1;162;10803;1;67889;463;0.02;0.02;0;0.04;0.01;-0.02;0;10477;0;150;6;0.16;0;2503500;1119499;503;119;46.22;6.19;503500;119500;"503500_119500"
5136;2015-05-07;1;179;10808;2;67889;463;0.02;0.02;0;0.04;0.01;-0.02;0;10477;0;150;6;0.16;0;2503500;1119499;503;119;46.22;6.19;503500;119500;"503500_119500"
5136;2015-05-30;1;188;10811;3;67889;463;0.02;0.02;0;0.04;0.01;-0.02;0;10477;0;150;6;0.16;0;2503500;1119499;503;119;46.22;6.19;503500;119500;"503500_119500"
5138;2014-04-24;1;176;7305;1;17254;457;0.63;0;0;0.05;0;0.01;396;4376;0;0;3;0.03;0;2508500;1118499;508;118;46.21;6.25;508500;118500;"508500_118500"
5138;2014-05-13;1;205;7308;2;17254;457;0.63;0;0;0.05;0;0.01;396;4376;0;0;3;0.03;0;2508500;1118499;508;118;46.21;6.25;508500;118500;"508500_118500"
5138;2014-05-30;1;174;7309;3;17254;457;0.63;0;0;0.05;0;0.01;396;4376;0;0;3;0.03;0;2508500;1118499;508;118;46.21;6.25;508500;118500;"508500_118500"
5139;2014-04-26;1;180;4327;1;64566;389;0.03;0;0;0.11;0.17;-0.56;275;13482;0;1414;2.6;0.01;16162;2502500;1128499;502;128;46.3;6.17;502500;128500;"502500_128500"
5139;2014-05-19;1;165;4335;2;64566;389;0.03;0;0;0.11;0.17;-0.56;275;13482;0;1414;2.6;0.01;16162;2502500;1128499;502;128;46.3;6.17;502500;128500;"502500_128500"
5139;2014-06-03;1;185;4814;3;64566;389;0.03;0;0;0.11;0.17;-0.56;275;13482;0;1414;2.6;0.01;16162;2502500;1128499;502;128;46.3;6.17;502500;128500;"502500_128500"
5140;2015-04-22;1;180;7887;1;2812;438;0.79;0.01;0;0.05;0;0.22;1464;2855;0;0;1.6;0.03;0;2507500;1123499;507;123;46.26;6.24;507500;123500;"507500_123500"
5140;2015-05-10;1;195;7898;2;2812;438;0.79;0.01;0;0.05;0;0.22;1464;2855;0;0;1.6;0.03;0;2507500;1123499;507;123;46.26;6.24;507500;123500;"507500_123500"
5140;2015-05-30;1;150;8308;3;2812;438;0.79;0.01;0;0.05;0;0.22;1464;2855;0;0;1.6;0.03;0;2507500;1123499;507;123;46.26;6.24;507500;123500;"507500_123500"
5142;2015-04-15;1;275;8366;1;4569;469;0.52;0.23;0;0.09;0;0.39;569;1558;0;0;0.9;0;102206;2500500;1132499;500;132;46.34;6.15;500500;132500;"500500_132500"
5142;2015-05-10;1;310;8371;2;4569;469;0.52;0.23;0;0.09;0;0.39;569;1558;0;0;0.9;0;102206;2500500;1132499;500;132;46.34;6.15;500500;132500;"500500_132500"
5142;2015-05-29;1;315;8409;3;4569;469;0.52;0.23;0;0.09;0;0.39;569;1558;0;0;0.9;0;102206;2500500;1132499;500;132;46.34;6.15;500500;132500;"500500_132500"
5144;2014-04-17;1;165;5393;1;39953;478;0.39;0.01;0;0.24;0;-0.65;0;6850;0;0;2.5;0;0;2504500;1138499;504;138;46.39;6.2;504500;138500;"504500_138500"
5144;2014-05-18;1;245;5410;2;39953;478;0.39;0.01;0;0.24;0;-0.65;0;6850;0;0;2.5;0;0;2504500;1138499;504;138;46.39;6.2;504500;138500;"504500_138500"
5144;2014-05-27;1;210;5427;3;39953;478;0.39;0.01;0;0.24;0;-0.65;0;6850;0;0;2.5;0;0;2504500;1138499;504;138;46.39;6.2;504500;138500;"504500_138500"
5145;2014-04-17;1;275;4883;1;43011;389;0.22;0.06;0;0.08;0.23;-0.38;755;8000;0;1150;3.6;0.03;0;2505500;1134499;505;134;46.36;6.21;505500;134500;"505500_134500"
5145;2014-05-05;1;315;4892;2;43011;389;0.22;0.06;0;0.08;0.23;-0.38;755;8000;0;1150;3.6;0.03;0;2505500;1134499;505;134;46.36;6.21;505500;134500;"505500_134500"
5145;2014-05-24;1;330;4902;3;43011;389;0.22;0.06;0;0.08;0.23;-0.38;755;8000;0;1150;3.6;0.03;0;2505500;1134499;505;134;46.36;6.21;505500;134500;"505500_134500"
5146;2015-04-16;0;240;9077;1;948;1183;0;0.61;0;0.35;0;0.06;0;370;0;0;12.1;0.03;0;2502500;1147499;502;147;46.47;6.17;502500;147500;"502500_147500"
5146;2015-05-07;0;270;9089;2;948;1183;0;0.61;0;0.35;0;0.06;0;370;0;0;12.1;0.03;0;2502500;1147499;502;147;46.47;6.17;502500;147500;"502500_147500"
5146;2015-06-11;0;290;9099;3;948;1183;0;0.61;0;0.35;0;0.06;0;370;0;0;12.1;0.03;0;2502500;1147499;502;147;46.47;6.17;502500;147500;"502500_147500"
5147;2016-04-15;1;190;11792;1;34204;528;0.52;0.01;0;0.19;0;-0.68;1577;5084;0;0;2.6;0.03;0;2503500;1140499;503;140;46.41;6.18;503500;140500;"503500_140500"
5147;2016-05-12;1;195;11795;2;34204;528;0.52;0.01;0;0.19;0;-0.68;1577;5084;0;0;2.6;0.03;0;2503500;1140499;503;140;46.41;6.18;503500;140500;"503500_140500"
5147;2016-06-03;1;195;12309;3;34204;528;0.52;0.01;0;0.19;0;-0.68;1577;5084;0;0;2.6;0.03;0;2503500;1140499;503;140;46.41;6.18;503500;140500;"503500_140500"
5148;2014-04-15;0;180;5073;1;3341;658;0.46;0.41;0;0.08;0;-0.52;1142;2552;0;80;10.4;0.01;0;2507500;1145499;507;145;46.45;6.23;507500;145500;"507500_145500"
5148;2014-05-06;1;195;5109;2;3341;658;0.46;0.41;0;0.08;0;-0.52;1142;2552;0;80;10.4;0.01;0;2507500;1145499;507;145;46.45;6.23;507500;145500;"507500_145500"
5148;2014-06-06;1;165;5178;3;3341;658;0.46;0.41;0;0.08;0;-0.52;1142;2552;0;80;10.4;0.01;0;2507500;1145499;507;145;46.45;6.23;507500;145500;"507500_145500"
5149;2016-04-22;1;300;11793;1;10600;572;0.21;0.16;0;0.09;0;-0.89;3419;5731;0;0;11;0;0;2509500;1144499;509;144;46.45;6.26;509500;144500;"509500_144500"
5149;2016-05-08;1;435;11794;2;10600;572;0.21;0.16;0;0.09;0;-0.89;3419;5731;0;0;11;0;0;2509500;1144499;509;144;46.45;6.26;509500;144500;"509500_144500"
5149;2016-06-01;1;285;12312;3;10600;572;0.21;0.16;0;0.09;0;-0.89;3419;5731;0;0;11;0;0;2509500;1144499;509;144;46.45;6.26;509500;144500;"509500_144500"
5150;2013-05-08;0;360;3089;1;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5150;2013-06-06;0;360;3090;2;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5150;2013-07-01;0;300;3091;3;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5150;2014-06-07;0;425;6827;4;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5150;2014-06-22;0;360;6829;5;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5150;2014-06-28;0;330;6830;6;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5151;2015-05-05;0;240;8475;1;649;1343;0;0.98;0;0.02;0;-0.13;0;177;0;0;6.7;0;0;2504500;1164499;504;164;46.62;6.19;504500;164500;"504500_164500"
5151;2015-05-28;0;270;8482;2;649;1343;0;0.98;0;0.02;0;-0.13;0;177;0;0;6.7;0;0;2504500;1164499;504;164;46.62;6.19;504500;164500;"504500_164500"
5151;2015-06-12;0;285;9534;3;649;1343;0;0.98;0;0.02;0;-0.13;0;177;0;0;6.7;0;0;2504500;1164499;504;164;46.62;6.19;504500;164500;"504500_164500"
5152;2014-04-21;0;180;4267;1;25151;1045;0;0.19;0;0.58;0;-0.35;1083;4724;0;0;7.3;0.05;0;2505500;1160499;505;160;46.59;6.21;505500;160500;"505500_160500"
5152;2014-05-29;0;210;4957;2;25151;1045;0;0.19;0;0.58;0;-0.35;1083;4724;0;0;7.3;0.05;0;2505500;1160499;505;160;46.59;6.21;505500;160500;"505500_160500"
5152;2014-06-08;1;210;5711;3;25151;1045;0;0.19;0;0.58;0;-0.35;1083;4724;0;0;7.3;0.05;0;2505500;1160499;505;160;46.59;6.21;505500;160500;"505500_160500"
5153;2014-05-06;0;210;4266;1;1153;1117;0;0.64;0;0.32;0;-0.29;0;1884;0;0;5;0.03;0;2508500;1165499;508;165;46.63;6.24;508500;165500;"508500_165500"
5153;2014-05-24;0;225;4971;2;1153;1117;0;0.64;0;0.32;0;-0.29;0;1884;0;0;5;0.03;0;2508500;1165499;508;165;46.63;6.24;508500;165500;"508500_165500"
5153;2014-06-09;0;195;5707;3;1153;1117;0;0.64;0;0.32;0;-0.29;0;1884;0;0;5;0.03;0;2508500;1165499;508;165;46.63;6.24;508500;165500;"508500_165500"
5160;2015-04-19;1;170;8807;1;2951;781;0.52;0.33;0;0.1;0;0.43;1163;2202;0;0;4.2;0.01;0;2512500;1149499;512;149;46.49;6.3;512500;149500;"512500_149500"
5160;2015-05-02;0;160;8819;2;2951;781;0.52;0.33;0;0.1;0;0.43;1163;2202;0;0;4.2;0.01;0;2512500;1149499;512;149;46.49;6.3;512500;149500;"512500_149500"
5160;2015-05-25;1;200;8829;3;2951;781;0.52;0.33;0;0.1;0;0.43;1163;2202;0;0;4.2;0.01;0;2512500;1149499;512;149;46.49;6.3;512500;149500;"512500_149500"
5161;2015-04-25;1;165;8802;1;26093;575;0.04;0.13;0;0.09;0;-0.82;1672;11213;0;0;13.8;0.06;0;2514500;1147499;514;147;46.47;6.33;514500;147500;"514500_147500"
5161;2015-05-07;1;180;8817;2;26093;575;0.04;0.13;0;0.09;0;-0.82;1672;11213;0;0;13.8;0.06;0;2514500;1147499;514;147;46.47;6.33;514500;147500;"514500_147500"
5161;2015-05-24;1;180;8830;3;26093;575;0.04;0.13;0;0.09;0;-0.82;1672;11213;0;0;13.8;0.06;0;2514500;1147499;514;147;46.47;6.33;514500;147500;"514500_147500"
5162;2016-04-24;1;170;11851;1;14263;378;0.16;0.23;0;0.19;0.19;-0.61;2106;4524;0;902;1.8;0.01;21261;2519500;1146499;519;146;46.46;6.39;519500;146500;"519500_146500"
5162;2016-05-16;1;190;11854;2;14263;378;0.16;0.23;0;0.19;0.19;-0.61;2106;4524;0;902;1.8;0.01;21261;2519500;1146499;519;146;46.46;6.39;519500;146500;"519500_146500"
5162;2016-05-29;1;185;11856;3;14263;378;0.16;0.23;0;0.19;0.19;-0.61;2106;4524;0;902;1.8;0.01;21261;2519500;1146499;519;146;46.46;6.39;519500;146500;"519500_146500"
5163;2014-05-10;0;273;5652;1;146;1519;0;0.68;0;0.26;0;-0.51;0;1422;0;0;9.2;0.04;0;2511500;1158499;511;158;46.57;6.28;511500;158500;"511500_158500"
5163;2014-05-29;0;235;5662;2;146;1519;0;0.68;0;0.26;0;-0.51;0;1422;0;0;9.2;0.04;0;2511500;1158499;511;158;46.57;6.28;511500;158500;"511500_158500"
5163;2014-06-20;0;243;5677;3;146;1519;0;0.68;0;0.26;0;-0.51;0;1422;0;0;9.2;0.04;0;2511500;1158499;511;158;46.57;6.28;511500;158500;"511500_158500"
