"visit1";"visit2";"visit3";"visit4";"visit5";"visit6";"visit7";"visit8";"visit9"
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;0;0;0;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;0;0;0;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;NA;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;0;0;1;1;1;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;0;0;1;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;1;1;1;0;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;NA;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;0;0;0;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
1;0;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
0;0;NA;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
1;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;1;1;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
1;0;0;NA;NA;NA;NA;NA;NA
1;0;1;1;1;1;NA;NA;NA
0;1;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
0;0;0;NA;NA;NA;NA;NA;NA
