"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
5109;0;380;0.08;0.76;0;0.01;0.03;0.39;0;2856;0;572;9.4;0.01;0;2486500;1110499;486;110;46.14;5.97;486500;110500;"486500_110500"
5426;10548;426;0.79;0;0;0.07;0;0.09;0;4432;0;460;0.6;0.01;0;2489500;1113499;489;113;46.16;6.01;489500;113500;"489500_113500"
5115;1739;360;0.05;0.31;0;0.09;0.09;-0.16;2010;232;0.01;4253;7;0.1;32961;2490500;1115499;490;115;46.18;6.02;490500;115500;"490500_115500"
5427;29641;439;0.62;0.03;0;0.07;0;-0.01;570;6929;0;333;1.7;0.03;3588;2491500;1112499;491;112;46.16;6.03;491500;112500;"491500_112500"
5428;18459;477;0.25;0;0;0.04;0;0.32;0;3555;0;0;4;0;0;2491500;1120499;491;120;46.23;6.03;491500;120500;"491500_120500"
5116;11449;407;0.39;0.39;0;0.04;0;0.37;3502;4202;0;336;3.7;0.06;0;2492500;1115499;492;115;46.18;6.05;492500;115500;"492500_115500"
5117;18365;472;0.52;0.01;0;0.09;0;0.32;1184;1647;0;0;2.1;0.02;0;2497500;1111499;497;111;46.15;6.11;497500;111500;"497500_111500"
5120;2273;447;0.28;0.56;0;0.07;0;-0.15;2970;2345;0;0;4.2;0.04;0;2498500;1127499;498;127;46.29;6.12;498500;127500;"498500_127500"
5128;605;1461;0;0.29;0;0.59;0;-0.23;0;200;0;107;12.5;0.11;0;2498500;1148499;498;148;46.48;6.12;498500;148500;"498500_148500"
5121;40731;446;0.2;0.02;0;0.13;0.01;0.41;0;6686;0;464;3.3;0.15;0;2499500;1121499;499;121;46.24;6.14;499500;121500;"499500_121500"
5430;17543;1190;0;0.69;0;0.17;0;0.26;0;4407;0;0;11.2;0.03;0;2499500;1144499;499;144;46.44;6.13;499500;144500;"499500_144500"
5133;333;1448;0;0.59;0;0.27;0;0.07;477;425;0;0;14.5;0.07;82752;2499500;1150499;499;150;46.5;6.13;499500;150500;"499500_150500"
5134;126658;389;0;0.17;0;0;0;0.3;1624;12965;0.01;81;4.4;0.1;0;2500500;1115499;500;115;46.18;6.15;500500;115500;"500500_115500"
5142;4569;469;0.52;0.23;0;0.09;0;0.39;569;1558;0;0;0.9;0;102206;2500500;1132499;500;132;46.34;6.15;500500;132500;"500500_132500"
5135;41644;398;0.19;0.12;0;0.07;0;0.05;1960;7169;0;0;4.3;0.06;0;2501500;1115499;501;115;46.18;6.16;501500;115500;"501500_115500"
5471;49659;397;0.13;0.18;0;0.13;0;0.06;3936;7036;0;0;4.1;0.04;135;2501500;1125499;501;125;46.27;6.16;501500;125500;"501500_125500"
5139;64566;389;0.03;0;0;0.11;0.17;-0.56;275;13482;0;1414;2.6;0.01;16162;2502500;1128499;502;128;46.3;6.17;502500;128500;"502500_128500"
5146;948;1183;0;0.61;0;0.35;0;0.06;0;370;0;0;12.1;0.03;0;2502500;1147499;502;147;46.47;6.17;502500;147500;"502500_147500"
5432;450;1276;0;0.64;0;0.33;0;-0.3;0;418;0;0;7.8;0.02;2048;2502500;1150499;502;150;46.5;6.17;502500;150500;"502500_150500"
5136;67889;463;0.02;0.02;0;0.04;0.01;-0.02;0;10477;0;150;6;0.16;0;2503500;1119499;503;119;46.22;6.19;503500;119500;"503500_119500"
5147;34204;528;0.52;0.01;0;0.19;0;-0.68;1577;5084;0;0;2.6;0.03;0;2503500;1140499;503;140;46.41;6.18;503500;140500;"503500_140500"
5144;39953;478;0.39;0.01;0;0.24;0;-0.65;0;6850;0;0;2.5;0;0;2504500;1138499;504;138;46.39;6.2;504500;138500;"504500_138500"
5151;649;1343;0;0.98;0;0.02;0;-0.13;0;177;0;0;6.7;0;0;2504500;1164499;504;164;46.62;6.19;504500;164500;"504500_164500"
5145;43011;389;0.22;0.06;0;0.08;0.23;-0.38;755;8000;0;1150;3.6;0.03;0;2505500;1134499;505;134;46.36;6.21;505500;134500;"505500_134500"
5150;574;1334;0;0.92;0;0.06;0;0.43;0;0;0;0;6.3;0.02;0;2505500;1156499;505;156;46.55;6.21;505500;156500;"505500_156500"
5152;25151;1045;0;0.19;0;0.58;0;-0.35;1083;4724;0;0;7.3;0.05;0;2505500;1160499;505;160;46.59;6.21;505500;160500;"505500_160500"
5431;16161;450;0.46;0.02;0;0.14;0;-0.23;0;4620;0;0;3.2;0.02;20999;2506500;1120499;506;120;46.23;6.23;506500;120500;"506500_120500"
5140;2812;438;0.79;0.01;0;0.05;0;0.22;1464;2855;0;0;1.6;0.03;0;2507500;1123499;507;123;46.26;6.24;507500;123500;"507500_123500"
5148;3341;658;0.46;0.41;0;0.08;0;-0.52;1142;2552;0;80;10.4;0.01;0;2507500;1145499;507;145;46.45;6.23;507500;145500;"507500_145500"
5138;17254;457;0.63;0;0;0.05;0;0.01;396;4376;0;0;3;0.03;0;2508500;1118499;508;118;46.21;6.25;508500;118500;"508500_118500"
5153;1153;1117;0;0.64;0;0.32;0;-0.29;0;1884;0;0;5;0.03;0;2508500;1165499;508;165;46.63;6.24;508500;165500;"508500_165500"
5149;10600;572;0.21;0.16;0;0.09;0;-0.89;3419;5731;0;0;11;0;0;2509500;1144499;509;144;46.45;6.26;509500;144500;"509500_144500"
5434;1594;486;0.64;0.31;0;0.02;0.01;0.27;1910;4049;0;423;1.2;0;0;2510500;1120499;510;120;46.23;6.28;510500;120500;"510500_120500"
5474;44615;530;0.06;0.32;0;0.02;0;-0.74;1664;12335;0;64;13.1;0;0;2511500;1145499;511;145;46.45;6.29;511500;145500;"511500_145500"
5163;146;1519;0;0.68;0;0.26;0;-0.51;0;1422;0;0;9.2;0.04;0;2511500;1158499;511;158;46.57;6.28;511500;158500;"511500_158500"
5160;2951;781;0.52;0.33;0;0.1;0;0.43;1163;2202;0;0;4.2;0.01;0;2512500;1149499;512;149;46.49;6.3;512500;149500;"512500_149500"
5475;11619;384;0.3;0;0;0.07;0.37;-0.32;155;3794;0;1415;2.6;0.01;0;2513500;1143499;513;143;46.44;6.31;513500;143500;"513500_143500"
5166;168;1582;0;0.27;0;0.52;0;-0.49;0;0;0.01;0;12;0.2;0;2513500;1160499;513;160;46.59;6.31;513500;160500;"513500_160500"
5161;26093;575;0.04;0.13;0;0.09;0;-0.82;1672;11213;0;0;13.8;0.06;0;2514500;1147499;514;147;46.47;6.33;514500;147500;"514500_147500"
5167;18206;1068;0;0.19;0;0.58;0.09;0.03;0;4345;0;571;10.5;0.05;7185;2515500;1168499;515;168;46.66;6.33;515500;168500;"515500_168500"
5172;667;1106;0;0.88;0;0.08;0;0.15;856;1453;0;0;21.1;0.02;0;2515500;1171499;515;171;46.69;6.33;515500;171500;"515500_171500"
5435;289;704;0.57;0.28;0;0.02;0;-0.41;0;3710;0;0;3.1;0.03;0;2517500;1154499;517;154;46.54;6.36;517500;154500;"517500_154500"
5164;4101;693;0.91;0;0;0.03;0;-0.43;406;1856;0;0;1.6;0.01;0;2517500;1157499;517;157;46.56;6.36;517500;157500;"517500_157500"
5168;65158;749;0.1;0.21;0;0.36;0;-0.47;0;9414;0;0;7.3;0.05;0;2518500;1161499;518;161;46.6;6.37;518500;161500;"518500_161500"
5174;35535;972;0;0.69;0;0.06;0;-0.79;0;4789;0.02;0;24.6;0.02;0;2518500;1174499;518;174;46.72;6.37;518500;174500;"518500_174500"
5162;14263;378;0.16;0.23;0;0.19;0.19;-0.61;2106;4524;0;902;1.8;0.01;21261;2519500;1146499;519;146;46.46;6.39;519500;146500;"519500_146500"
5165;3578;678;0.53;0.23;0;0.16;0;-0.03;3634;1163;0;0;3;0;200595;2519500;1159499;519;159;46.58;6.39;519500;159500;"519500_159500"
5169;2446;926;0;0.7;0;0.27;0;-0.37;1527;1335;0;0;13.2;0;0;2519500;1165499;519;165;46.64;6.39;519500;165500;"519500_165500"
5175;10657;385;0.35;0.25;0;0.15;0.04;-0.49;1146;4526;0;411;2.1;0.01;0;2520500;1146499;520;146;46.47;6.4;520500;146500;"520500_146500"
5176;28315;458;0.05;0.14;0;0.19;0;-0.41;3034;5254;0;0;8.6;0.06;0;2520500;1149499;520;149;46.49;6.4;520500;149500;"520500_149500"
5177;1001;667;0.05;0.89;0;0.04;0;0.07;2227;1872;0;281;3.4;0;0;2520500;1158499;520;158;46.57;6.4;520500;158500;"520500_158500"
5180;2140;665;0.36;0.38;0;0.12;0;0.03;2648;2624;0;0;1.3;0.03;20422;2520500;1160499;520;160;46.59;6.4;520500;160500;"520500_160500"
5476;63564;441;0.26;0.01;0;0.28;0;-0.77;33;11282;0;0;3.1;0.01;0;2521500;1148499;521;148;46.48;6.42;521500;148500;"521500_148500"
5181;15600;849;0.28;0.2;0;0.39;0;-0.59;0;4360;0;0;7.9;0.03;0;2522500;1168499;522;168;46.66;6.43;522500;168500;"522500_168500"
5436;12671;933;0.02;0.3;0;0.47;0;-0.72;0;4882;0;0;13.7;0.05;0;2522500;1176499;522;176;46.74;6.42;522500;176500;"522500_176500"
5184;1247;1288;0;0.39;0;0.49;0;-0.85;0;262;0;0;13.4;0.12;0;2523500;1178499;523;178;46.75;6.44;523500;178500;"523500_178500"
5182;285;580;0.88;0;0;0.07;0;0.14;425;1088;0;0;3.3;0.02;0;2525500;1161499;525;161;46.6;6.47;525500;161500;"525500_161500"
5178;32595;437;0.27;0.16;0;0.1;0;-0.36;1722;7283;0;0;7.3;0.02;0;2526500;1152499;526;152;46.52;6.48;526500;152500;"526500_152500"
5179;42686;538;0.56;0;0;0.12;0;-0.35;0;6667;0;64;3.7;0.01;0;2526500;1158499;526;158;46.57;6.48;526500;158500;"526500_158500"
5438;929;1159;0;0.82;0;0.15;0;-0.02;0;2672;0;0;5.7;0.03;0;2526500;1197499;526;197;46.92;6.47;526500;197500;"526500_197500"
5183;2450;548;0.43;0.43;0;0.1;0;0.09;1670;1072;0;0;7.3;0.01;0;2527500;1166499;527;166;46.65;6.49;527500;166500;"527500_166500"
5185;22778;660;0.52;0.1;0;0.23;0;-0.17;0;6059;0;0;7.3;0.02;0;2527500;1178499;527;178;46.75;6.49;527500;178500;"527500_178500"
5439;902;1213;0;0.67;0;0.27;0;-0.49;0;155;0;0;6.1;0.06;0;2527500;1200499;527;200;46.95;6.49;527500;200500;"527500_200500"
5187;79;1148;0;0.93;0;0.05;0;-0.52;0;2021;0;0;25.9;0.01;0;2528500;1183499;528;183;46.8;6.5;528500;183500;"528500_183500"
5437;1107;1113;0;0.69;0;0.22;0;0.03;1937;1208;0.01;0;19.4;0.05;0;2528500;1188499;528;188;46.84;6.5;528500;188500;"528500_188500"
