"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"id";"ID";"ent1.1";"ent1.2";"ent2";"x";"y";"optional"
"1";5109;0;380;0.08;0.76;0;0.01;0.03;0.39;0;2856;0;572;9.4;0.01;0;2486500;1110499;486;110;46.14;5.97;"486500_110500";1;2.97930740082083;39.7300100415103;444.091264799632;486500;110500;TRUE
"2";5426;10548;426;0.79;0;0;0.07;0;0.09;0;4432;0;460;0.6;0.01;0;2489500;1113499;489;113;46.16;6.01;"489500_113500";2;2.25825072474832;43.0063681184613;169.774681168265;489500;113500;TRUE
"3";5115;1739;360;0.05;0.31;0;0.09;0.09;-0.16;2010;232;0.01;4253;7;0.1;32961;2490500;1115499;490;115;46.18;6.02;"490500_115500";3;2.41117463775191;45.9091857208339;195.631586969064;490500;115500;TRUE
"4";5427;29641;439;0.62;0.03;0;0.07;0;-0.01;570;6929;0;333;1.7;0.03;3588;2491500;1112499;491;112;46.16;6.03;"491500_112500";4;2.0526024515443;38.9519384503329;64.0792838206296;491500;112500;TRUE
"5";5428;18459;477;0.25;0;0;0.04;0;0.32;0;3555;0;0;4;0;0;2491500;1120499;491;120;46.23;6.03;"491500_120500";5;2.25803308059814;46.143460726466;88.2288356570316;491500;120500;TRUE
"6";5116;11449;407;0.39;0.39;0;0.04;0;0.37;3502;4202;0;336;3.7;0.06;0;2492500;1115499;492;115;46.18;6.05;"492500_115500";6;2.71086318218374;49.2587695379749;480.841193656527;492500;115500;TRUE
"7";5117;18365;472;0.52;0.01;0;0.09;0;0.32;1184;1647;0;0;2.1;0.02;0;2497500;1111499;497;111;46.15;6.11;"497500_111500";7;2.42245477170389;43.0455741813096;143.662242199112;497500;111500;TRUE
"8";5120;2273;447;0.28;0.56;0;0.07;0;-0.15;2970;2345;0;0;4.2;0.04;0;2498500;1127499;498;127;46.29;6.12;"498500_127500";8;2.31285899571393;48.9827395658389;159.194766082861;498500;127500;TRUE
"9";5128;605;1461;0;0.29;0;0.59;0;-0.23;0;200;0;107;12.5;0.11;0;2498500;1148499;498;148;46.48;6.12;"498500_148500";9;0.23660048545946;15.9917335676209;7.51145472731085;498500;148500;TRUE
"10";5121;40731;446;0.2;0.02;0;0.13;0.01;0.41;0;6686;0;464;3.3;0.15;0;2499500;1121499;499;121;46.24;6.14;"499500_121500";10;3.14803773943613;71.1916525926375;222.463987476299;499500;121500;TRUE
"11";5430;17543;1190;0;0.69;0;0.17;0;0.26;0;4407;0;0;11.2;0.03;0;2499500;1144499;499;144;46.44;6.13;"499500_144500";11;1.20414467144072;15.7526474575923;28.1985227797661;499500;144500;TRUE
"12";5133;333;1448;0;0.59;0;0.27;0;0.07;477;425;0;0;14.5;0.07;82752;2499500;1150499;499;150;46.5;6.13;"499500_150500";12;0.93645955005406;13.9699392938388;12.7363752007924;499500;150500;TRUE
"13";5134;126658;389;0;0.17;0;0;0;0.3;1624;12965;0.01;81;4.4;0.1;0;2500500;1115499;500;115;46.18;6.15;"500500_115500";13;3.09626912863959;63.6862517993575;606.364647577988;500500;115500;TRUE
"14";5142;4569;469;0.52;0.23;0;0.09;0;0.39;569;1558;0;0;0.9;0;102206;2500500;1132499;500;132;46.34;6.15;"500500_132500";14;2.34274561571293;41.0171532698444;126.523053210712;500500;132500;TRUE
