"site";"date";"survey";"time"
6905;2013-04-14;734;165
6431;2013-04-14;736;287
6930;2013-04-23;742;243
5965;2013-04-13;744;200
5655;2013-04-26;745;265
5881;2013-04-17;747;180
6905;2013-05-01;749;180
6923;2013-04-13;751;210
5440;2013-04-16;753;202
6967;2013-04-14;754;120
6852;2013-04-24;756;260
6854;2013-04-15;758;165
5894;2013-04-24;759;180
6853;2013-04-17;763;150
6997;2013-04-16;764;120
6495;2013-04-13;770;230
6494;2013-04-15;771;175
6242;2013-04-14;772;200
5965;2013-05-07;773;170
5880;2013-05-05;774;200
6682;2013-04-14;775;250
5833;2013-04-24;778;230
5833;2013-05-02;779;240
6431;2013-05-05;780;295
6190;2013-05-04;781;215
5780;2013-04-14;782;205
5780;2013-05-08;783;157
6132;2013-04-24;785;200
5881;2013-05-09;788;155
5890;2013-05-11;790;235
6126;2013-04-24;791;210
6750;2013-05-04;796;330
6292;2013-04-17;798;155
6773;2013-05-03;800;330
5889;2013-04-26;802;215
6188;2013-04-26;804;190
6293;2013-04-14;809;210
7185;2013-05-01;810;245
6126;2013-05-05;811;185
6126;2013-05-12;812;165
5851;2013-05-05;813;430
5965;2013-05-14;816;180
6174;2013-04-15;822;220
6174;2013-05-14;823;240
6132;2013-05-13;826;190
6930;2013-05-15;829;255
5655;2013-05-14;830;230
7181;2013-05-11;833;325
7285;2013-05-07;834;281
7285;2013-05-14;835;288
7185;2013-05-14;837;297
7136;2013-05-08;838;249
5341;2013-05-07;843;265
5190;2013-05-02;845;220
5441;2013-04-28;848;180
5441;2013-05-09;849;185
5718;2013-04-18;851;250
5718;2013-05-06;852;270
7186;2013-05-15;855;292
5230;2013-04-17;858;210
5230;2013-05-18;859;205
5949;2013-04-20;866;220
5949;2013-05-15;867;195
5818;2013-04-18;868;200
5818;2013-05-14;869;210
6967;2013-05-06;876;100
6852;2013-05-15;877;240
5894;2013-05-14;878;150
6854;2013-05-07;879;165
6853;2013-05-06;880;120
6997;2013-05-14;881;170
6892;2013-05-08;882;165
6292;2013-05-15;883;185
6293;2013-05-11;884;215
5880;2013-05-18;885;195
5881;2013-05-20;886;180
6905;2013-05-18;887;210
6337;2013-04-22;898;210
6337;2013-05-08;899;180
5663;2013-04-22;903;210
5663;2013-05-06;904;195
5663;2013-05-20;905;180
6681;2013-04-14;906;185
6681;2013-05-14;907;230
5190;2013-05-16;910;175
5341;2013-05-15;911;205
6124;2013-05-20;915;270
6322;2013-04-18;921;122
6322;2013-05-14;922;155
6322;2013-05-25;924;147
6437;2013-04-17;925;185
6437;2013-05-02;926;175
6437;2013-05-23;927;170
6314;2013-04-26;928;215
6314;2013-05-01;929;235
6314;2013-05-28;930;215
5890;2013-05-25;933;230
6324;2013-04-24;937;147
6324;2013-05-16;938;160
6324;2013-05-26;939;150
7141;2013-04-19;943;200
7141;2013-05-02;947;210
7141;2013-05-27;948;200
