date;from.shelf;to.shelf;jar;reset_Y_N;clone;trt;block;babies;juv;adult_non;adult_egg;sticky;pH;cond;Total_population;egg_sum;egg1;egg2;egg3;egg4;egg5;egg6;egg7;egg8;egg9;egg10;egg11;egg12;egg13;egg14;egg15;egg16;egg17;egg18;egg19;egg20;egg21;egg22;egg23;egg24;egg25;egg26;egg27;ephippia;TOC;TN;TotalP;Na;Mg;Ca;K;chla_RFU;temp;est.temp;mgC
02.06.2017;2;2;1;1;g100;dz;1;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.51;NA
02.06.2017;3;3;2;1;g100;dr_dz;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;3;3;3;1;g100;dr;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;5;5;4;1;g100;cont;2;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;21.98;NA
02.06.2017;4;4;5;1;g100;dz;4;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.61;NA
02.06.2017;3;3;6;1;g100;cont;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;4;4;7;1;g100;dr;4;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.61;NA
02.06.2017;3;3;8;1;g100;dr_dz;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;4;4;9;1;GAR24;cont;4;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.61;NA
02.06.2017;5;5;10;1;GAR24;dr;2;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;21.98;NA
02.06.2017;4;4;11;1;GAR24;dr_dz;4;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.61;NA
02.06.2017;2;2;12;1;GAR24;dz;1;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.51;NA
02.06.2017;2;2;13;1;GAR24;cont;1;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.51;NA
02.06.2017;5;5;14;1;GAR24;dr;2;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;21.98;NA
02.06.2017;3;3;15;1;GAR24;dr_dz;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;3;3;16;1;GAR24;dz;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;3;3;17;1;GAR24;cont;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;5;5;18;1;GAR24;dr;2;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;21.98;NA
02.06.2017;3;3;19;1;GAR24;dr_dz;3;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.6;NA
02.06.2017;4;4;20;1;GAR24;dz;4;3;0;0;0;0;NA;NA;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.9;1.7;19.2;20.8;12.8;34.1;3.8;NA;NA;20.61;NA
